Date,Open,High,Low,Close,Volume
11/15/2024,"206.76","207.34","199.61","202.61","86,591,133"
11/14/2024,"214.16","215.90","210.88","211.48","42,620,312"
11/13/2024,"209.40","215.09","209.14","214.10","46,212,941"
11/12/2024,"208.37","209.54","206.01","208.91","38,942,922"
11/11/2024,"208.50","209.65","205.59","206.84","35,456,008"
11/08/2024,"209.72","209.96","207.44","208.18","36,075,848"
11/07/2024,"207.44","212.25","207.19","210.05","52,878,379"
11/06/2024,"200.01","207.55","199.14","207.09","72,292,172"
11/05/2024,"196.04","199.82","195.99","199.50","30,564,779"
11/04/2024,"196.45","197.33","194.31","195.78","38,492,059"
11/01/2024,"199.00","200.50","197.02","197.93","99,687,852"
10/31/2024,"190.51","190.60","185.23","186.40","75,146,758"
10/30/2024,"194.70","195.61","192.42","192.73","37,707,551"
10/29/2024,"188.58","191.46","187.82","190.83","35,690,160"
10/28/2024,"189.57","190.21","188.21","188.39","27,930,840"
10/25/2024,"187.85","190.45","187.53","187.83","29,362,061"
10/24/2024,"185.25","187.11","183.86","186.38","21,647,400"
10/23/2024,"188.85","189.16","183.69","184.71","31,937,090"
10/22/2024,"188.35","191.52","186.98","189.70","29,650,590"
10/21/2024,"188.05","189.46","186.40","189.07","24,639,391"
10/18/2024,"187.15","190.74","186.28","188.99","37,417,672"
10/17/2024,"188.22","188.94","186.00","187.53","25,039,410"
10/16/2024,"187.05","187.78","185.61","186.89","23,456,811"
