Date,Open,High,Low,Close,Volume
11/15/2024,"168.47","169.14","163.43","164.84","20,836,160"
11/14/2024,"174.77","175.57","169.87","170.38","20,638,859"
11/13/2024,"174.71","175.59","172.60","173.58","17,472,510"
11/12/2024,"178.90","179.56","173.20","176.22","15,861,980"
11/11/2024,"183.40","183.63","176.82","178.91","17,036,660"
11/08/2024,"182.99","185.05","181.83","183.64","13,503,150"
11/07/2024,"181.99","184.87","181.79","183.81","18,970,580"
11/06/2024,"179.63","180.21","175.96","179.55","24,300,760"
11/05/2024,"170.05","174.40","170.05","173.90","13,441,750"
11/04/2024,"169.28","172.45","168.42","168.55","13,621,310"
11/01/2024,"168.26","171.33","167.50","168.92","17,847,039"
10/31/2024,"174.45","174.45","167.38","169.77","26,086,590"
10/30/2024,"177.47","179.19","175.62","176.64","17,911,490"
10/29/2024,"172.44","180.23","171.21","179.24","23,702,340"
10/28/2024,"173.00","173.97","171.35","172.02","13,195,830"
10/25/2024,"174.19","176.80","172.72","173.00","19,977,680"
10/24/2024,"174.26","174.30","169.50","171.35","20,485,170"
10/23/2024,"177.59","178.98","172.57","173.51","19,513,711"
10/22/2024,"178.66","180.69","177.41","179.38","12,062,650"
10/21/2024,"179.38","181.72","178.25","179.99","13,695,150"
10/18/2024,"182.32","182.71","178.68","179.89","17,835,250"
10/17/2024,"181.37","185.51","180.69","181.53","25,232,430"
10/16/2024,"178.51","179.25","175.33","176.82","15,285,050"
