Date,Open,High,Low,Close,Volume
11/15/2024,"571.22","572.57","551.50","554.08","17,712,859"
11/14/2024,"577.00","580.76","573.01","577.16","11,053,740"
11/13/2024,"582.61","585.64","575.17","580.00","10,757,580"
11/12/2024,"588.55","599.66","580.38","584.82","16,287,720"
11/11/2024,"586.36","587.00","576.51","583.17","10,209,050"
11/08/2024,"591.54","593.10","584.52","589.34","9,415,699"
11/07/2024,"576.89","594.80","575.21","591.70","14,653,710"
11/06/2024,"562.75","573.00","555.17","572.05","18,305,430"
11/05/2024,"567.31","573.48","566.67","572.43","9,775,379"
11/04/2024,"564.10","568.69","557.89","560.68","12,064,600"
11/01/2024,"567.61","573.67","562.56","567.16","15,303,240"
10/31/2024,"585.00","589.90","563.01","567.58","26,838,400"
10/30/2024,"600.98","601.20","589.38","591.80","26,864,930"
10/29/2024,"580.15","593.67","575.40","593.28","13,019,090"
10/28/2024,"582.00","583.75","574.12","578.16","10,925,130"
10/25/2024,"573.94","581.29","571.72","573.25","11,337,870"
10/24/2024,"567.13","568.88","561.52","567.78","7,184,651"
10/23/2024,"579.97","585.00","562.50","563.69","14,248,420"
10/22/2024,"574.29","583.53","572.12","582.01","8,544,463"
10/21/2024,"576.03","577.24","569.11","575.16","8,171,879"
10/18/2024,"581.10","583.97","575.25","576.47","7,694,274"
10/17/2024,"583.33","584.97","575.20","576.93","8,701,158"
10/16/2024,"581.40","582.08","574.03","576.79","11,268,380"
