Date,Open,High,Low,Close,Volume
11/15/2024,"163.00","164.33","159.60","160.50","9,737,033"
11/14/2024,"162.95","164.91","161.87","163.97","7,012,644"
11/13/2024,"162.79","162.94","159.75","160.42","7,921,747"
11/12/2024,"167.05","167.33","161.86","163.41","8,483,331"
11/11/2024,"170.00","170.79","166.09","168.29","7,829,485"
11/08/2024,"172.09","173.49","168.75","170.91","10,736,650"
11/07/2024,"180.27","182.10","171.63","172.91","23,586,320"
11/06/2024,"169.25","178.45","168.67","172.99","17,661,920"
11/05/2024,"165.00","167.59","164.25","165.91","5,373,163"
11/04/2024,"165.06","167.50","163.64","165.18","4,949,802"
11/01/2024,"163.08","166.08","162.77","165.27","6,498,125"
10/31/2024,"167.62","167.78","162.08","162.77","10,261,240"
10/30/2024,"169.92","171.74","167.53","167.62","8,819,735"
10/29/2024,"172.20","176.57","171.26","176.00","6,427,746"
10/28/2024,"169.42","173.15","169.37","172.22","5,024,581"
10/25/2024,"170.28","173.18","169.81","170.27","5,496,607"
10/24/2024,"166.61","168.94","165.53","168.10","4,933,426"
10/23/2024,"169.34","172.64","164.30","166.60","9,788,217"
10/22/2024,"169.01","173.48","168.23","173.18","7,313,047"
10/21/2024,"169.64","170.17","166.07","169.01","7,297,738"
10/18/2024,"172.11","172.58","169.42","170.92","6,432,721"
10/17/2024,"175.62","175.62","171.02","171.10","6,093,179"
10/16/2024,"174.62","174.67","170.22","171.48","6,495,701"
