Date,Open,High,Low,Close,Volume
11/15/2024,"173.73","174.14","171.22","172.49","32,504,650"
11/14/2024,"178.28","178.82","174.32","175.58","31,007,461"
11/13/2024,"180.46","180.96","178.54","178.88","23,184,000"
11/12/2024,"179.82","182.49","179.39","181.62","25,134,910"
11/11/2024,"178.58","180.55","178.47","180.35","17,450,350"
11/08/2024,"180.65","180.90","178.08","178.35","22,006,180"
11/07/2024,"177.41","181.08","177.19","180.75","25,352,939"
11/06/2024,"173.80","176.94","173.50","176.51","33,695,539"
11/05/2024,"169.43","170.53","168.84","169.74","18,242,051"
11/04/2024,"169.93","170.73","168.01","169.24","21,492,740"
11/01/2024,"170.07","172.32","168.88","171.29","31,796,480"
10/31/2024,"173.13","176.82","171.00","171.11","44,768,980"
10/30/2024,"180.68","182.02","174.06","174.46","68,890,789"
10/29/2024,"167.73","170.38","167.09","169.68","42,169,031"
10/28/2024,"168.75","168.75","163.95","166.72","32,138,641"
10/25/2024,"163.67","165.59","163.42","165.27","19,828,881"
10/24/2024,"162.83","163.33","161.01","162.72","22,412,529"
10/23/2024,"164.76","165.82","161.93","162.78","18,280,520"
10/22/2024,"162.98","165.77","162.98","165.14","16,568,119"
10/21/2024,"162.95","164.50","162.62","164.07","20,946,461"
10/18/2024,"163.19","164.71","163.08","163.42","19,757,660"
10/17/2024,"165.73","166.37","162.76","162.93","21,453,400"
10/16/2024,"164.53","165.80","163.74","165.16","16,406,029"
