Date,Open,High,Low,Close,Volume
11/15/2024,"419.82","422.80","413.64","415.00","28,247,641"
11/14/2024,"425.00","428.17","420.00","426.89","30,246,881"
11/13/2024,"421.64","429.33","418.21","425.20","21,502,189"
11/12/2024,"418.25","424.44","417.20","423.03","19,401,199"
11/11/2024,"422.52","424.81","416.00","418.01","24,503,320"
11/08/2024,"425.32","426.50","421.78","422.54","16,891,410"
11/07/2024,"421.28","426.85","419.88","425.43","19,901,779"
11/06/2024,"412.42","420.45","410.52","420.18","26,681,840"
11/05/2024,"408.37","414.90","408.08","411.46","17,626,010"
11/04/2024,"409.80","410.42","405.57","408.46","19,672,289"
11/01/2024,"409.01","415.50","407.50","410.37","24,230,439"
10/31/2024,"415.36","416.16","406.30","406.35","53,970,980"
10/30/2024,"437.44","438.50","432.10","432.53","29,749,150"
10/29/2024,"428.00","433.17","425.80","431.95","17,644,080"
10/28/2024,"431.66","431.94","426.30","426.59","14,882,440"
10/25/2024,"426.76","432.52","426.57","428.15","16,899,061"
10/24/2024,"425.33","425.98","422.40","424.73","13,581,630"
10/23/2024,"430.86","431.08","422.53","424.60","19,654,381"
10/22/2024,"418.49","430.58","418.04","427.51","25,482,199"
10/21/2024,"416.12","418.96","413.75","418.78","14,206,120"
10/18/2024,"417.14","419.65","416.26","418.16","17,145,320"
10/17/2024,"422.36","422.50","415.59","416.72","14,820,000"
10/16/2024,"415.17","416.36","410.48","416.12","15,508,930"
