Date,Open,High,Low,Close
11/15/2024,"5,912.79","5,915.32","5,853.01","5,870.62"
11/14/2024,"5,989.68","5,993.88","5,942.28","5,949.17"
11/13/2024,"5,985.75","6,008.19","5,965.91","5,985.38"
11/12/2024,"6,003.60","6,009.92","5,960.08","5,983.99"
11/11/2024,"6,008.86","6,017.31","5,986.69","6,001.35"
11/08/2024,"5,976.76","6,012.45","5,976.76","5,995.54"
11/07/2024,"5,947.21","5,983.84","5,947.21","5,973.10"
11/06/2024,"5,864.89","5,936.14","5,864.89","5,929.04"
11/05/2024,"5,722.43","5,783.44","5,722.10","5,782.76"
11/04/2024,"5,725.15","5,741.43","5,696.51","5,712.69"
11/01/2024,"5,723.22","5,772.52","5,723.22","5,728.80"
10/31/2024,"5,775.34","5,775.34","5,702.86","5,705.45"
10/30/2024,"5,832.65","5,850.94","5,811.28","5,813.67"
10/29/2024,"5,819.68","5,847.19","5,802.17","5,832.92"
10/28/2024,"5,833.93","5,842.92","5,823.08","5,823.52"
10/25/2024,"5,826.75","5,862.82","5,799.98","5,808.12"
10/24/2024,"5,817.80","5,817.80","5,784.92","5,809.86"
10/23/2024,"5,834.50","5,834.85","5,762.41","5,797.42"
10/22/2024,"5,832.70","5,863.04","5,821.17","5,851.20"
10/21/2024,"5,857.82","5,866.92","5,824.79","5,853.98"
10/18/2024,"5,859.43","5,872.17","5,846.11","5,864.67"
10/17/2024,"5,875.62","5,878.46","5,840.25","5,841.47"
10/16/2024,"5,816.58","5,846.52","5,808.34","5,842.47"
